Date,Temperature,Humidity,Precipitation
1,31,56,46
2,29,99,59
3,35,65,82
4,21,40,48
5,29,51,10
6,20,97,56
7,47,6,76
8,39,1,70
9,37,11,0
10,21,38,37
11,31,30,52
12,36,85,69
13,27,12,18
14,34,59,84
15,49,100,10
16,45,6,19
17,38,77,97
18,25,75,12
19,24,94,30
20,48,45,8
21,32,52,23
22,32,78,59
23,49,4,84
24,24,49,35
25,39,79,71
26,39,59,22
27,34,29,83
28,25,37,6
29,39,13,99
30,39,82,4
31,33,33,23
32,22,42,69
33,45,36,3
34,43,1,87
35,35,34,24
36,23,80,65
37,41,48,15
38,35,96,5
39,29,11,92
40,45,15,22
41,22,82,40
42,24,76,5
43,45,96,68
44,47,5,7
45,50,69,13
46,20,97,43
47,37,37,83
48,40,57,7
49,47,94,3
50,29,71,53
51,30,4,26
52,25,35,34
53,32,0,46
54,31,31,88
55,47,35,87
56,25,13,7
57,48,78,0
58,50,71,82
59,49,91,26
60,33,17,94
61,35,39,7
62,45,58,69
63,39,60,39
64,49,81,75
65,37,80,63
66,24,12,65
67,42,3,35
68,40,64,43
69,46,36,44
70,35,49,89
71,36,50,76
72,24,11,89
73,31,46,34
74,44,91,23
75,48,75,90
76,44,30,58
77,29,64,39
78,37,22,96
79,32,41,12
80,28,10,25
81,35,48,26
82,36,95,79
83,33,21,89
84,35,33,83
85,37,9,93
86,30,33,30
87,43,38,55
88,29,6,6
89,32,40,17
90,38,98,73
91,20,82,47
92,22,17,17
93,42,9,38
94,79,52,89
95,72,91,53
96,56,86,41
97,57,62,21
98,57,89,75
99,63,43,53
100,46,55,34
101,78,43,1
102,63,85,72
103,59,70,98
104,53,36,22
105,75,12,91
106,49,6,85
107,59,17,70
108,75,62,55
109,51,78,28
110,42,86,29
111,52,31,53
112,48,7,60
113,66,40,42
114,48,100,51
115,54,43,9
116,43,64,51
117,45,84,65
118,79,41,24
119,44,58,4
120,49,51,69
121,59,35,72
122,46,73,74
123,44,55,68
124,67,42,69
125,41,59,56
126,47,2,36
127,52,26,75
128,50,57,71
129,50,39,8
130,61,11,86
131,79,62,68
132,40,70,27
133,48,48,69
134,77,16,71
135,52,82,100
136,79,14,23
137,68,96,86
138,56,17,27
139,68,55,93
140,52,83,23
141,75,36,84
142,48,28,29
143,41,24,70
144,64,29,3
145,60,16,42
146,52,37,3
147,73,55,5
148,42,23,37
149,54,95,98
150,80,65,39
151,77,4,100
152,65,9,88
153,79,50,3
154,67,75,34
155,50,76,36
156,54,34,28
157,52,8,90
158,57,10,40
159,80,82,47
160,66,26,11
161,78,59,99
162,60,72,62
163,75,19,73
164,76,12,43
165,42,59,87
166,75,69,36
167,64,80,47
168,51,83,100
169,62,64,62
170,54,16,52
171,99,8,9
172,79,96,22
173,76,100,88
174,87,20,0
175,77,93,60
176,79,78,0
177,100,93,93
178,102,66,63
179,87,85,23
180,97,69,36
181,87,65,34
182,90,17,21
183,70,50,19
184,91,4,59
185,88,48,16
186,103,77,23
187,98,56,65
188,97,97,56
189,95,88,3
190,92,27,49
191,107,24,31
192,88,65,10
193,84,11,51
194,109,77,66
195,103,76,61
196,103,96,64
197,75,100,59
198,80,17,88
199,83,73,26
200,88,46,72
201,101,55,58
202,92,57,38
203,73,41,57
204,105,24,35
205,90,37,85
206,98,92,39
207,108,82,21
208,70,24,64
209,83,36,68
210,82,58,59
211,85,52,27
212,95,87,91
213,74,8,17
214,71,83,57
215,104,58,1
216,70,8,81
217,80,10,7
218,89,18,66
219,84,62,67
220,103,98,59
221,105,38,88
222,108,40,45
223,71,66,4
224,110,41,40
225,93,72,73
226,103,71,28
227,101,70,51
228,77,57,11
229,104,15,64
230,80,34,2
231,105,74,64
232,82,73,35
233,103,72,9
234,94,52,48
235,107,50,98
236,90,83,11
237,92,26,59
238,91,64,89
239,83,84,86
240,99,28,3
241,102,49,23
242,85,15,64
243,104,85,10
244,85,60,43
245,101,16,47
246,72,18,36
247,77,74,93
248,94,52,91
249,80,61,3
250,103,35,16
251,71,77,31
252,87,60,58
253,97,8,26
